Record_ID,Income,Education_Level,Major,Years_of_Experience,Gender,Industry,Year,CPI,GDP
1,84061,Bachelor's Degree,Economics,21,0,Public,2018,259.04706076957433,0.0306884700746504
1,85061,Bachelor's Degree,Economics,22,0,Public,2019,253.38844804186493,0.0378843452579185
1,86061,Bachelor's Degree,Economics,23,0,Public,2020,262.73642928568705,0.0266019902662031
1,87061,Bachelor's Degree,Economics,24,0,Public,2021,269.49539686840825,0.0218458117245749
2,106645,PhD,Accounting,11,0,Public,2018,259.04706076957433,0.0212215591970972
2,107645,PhD,Accounting,12,0,Public,2019,253.38844804186493,0.0361240255958612
2,108645,PhD,Accounting,13,0,Public,2020,262.73642928568705,0.0236904203871275
2,109645,PhD,Accounting,14,0,Public,2021,269.49539686840825,0.0274094420558276
3,127686,Master's Degree,Economics,14,1,Public,2018,259.04706076957433,0.0349494187626751
3,128686,Master's Degree,Economics,15,1,Public,2019,253.38844804186493,0.0250487388868804
3,129686,Master's Degree,Economics,16,1,Public,2020,262.73642928568705,0.0379041367537439
3,130686,Master's Degree,Economics,17,1,Public,2021,269.49539686840825,0.0306422697053063
4,89674,Bachelor's Degree,Economics,15,1,Public,2018,259.04706076957433,0.0347481041218763
4,90674,Bachelor's Degree,Economics,16,1,Public,2019,253.38844804186493,0.0312793018403767
4,91674,Bachelor's Degree,Economics,17,1,Public,2020,262.73642928568705,0.0217840865742411
4,92674,Bachelor's Degree,Economics,18,1,Public,2021,269.49539686840825,0.024664328230996
5,70734,Bachelor's Degree,Accounting,4,0,Public,2018,259.04706076957433,0.0317368223604175
5,71734,Bachelor's Degree,Accounting,5,0,Public,2019,253.38844804186493,0.0286331909245935
5,72734,Bachelor's Degree,Accounting,6,0,Public,2020,262.73642928568705,0.0256755181159744
5,73734,Bachelor's Degree,Accounting,7,0,Public,2021,269.49539686840825,0.032918344826632
6,68812,Master's Degree,Finance,25,0,Non-Profit,2018,259.04706076957433,0.022035649452408
6,69812,Master's Degree,Finance,26,0,Non-Profit,2019,253.38844804186493,0.0249191545676901
6,70812,Master's Degree,Finance,27,0,Non-Profit,2020,262.73642928568705,0.0237313404810261
6,71812,Master's Degree,Finance,28,0,Non-Profit,2021,269.49539686840825,0.0234674719058951
7,72818,PhD,Accounting,8,0,Non-Profit,2018,259.04706076957433,0.0399451106953678
7,73818,PhD,Accounting,9,0,Non-Profit,2019,253.38844804186493,0.0315199683561132
7,74818,PhD,Accounting,10,0,Non-Profit,2020,262.73642928568705,0.0201060001279521
7,75818,PhD,Accounting,11,0,Non-Profit,2021,269.49539686840825,0.0298149755851756
8,108441,Master's Degree,Finance,15,0,Public,2018,259.04706076957433,0.0295323896825282
8,109441,Master's Degree,Finance,16,0,Public,2019,253.38844804186493,0.0241015512029891
8,110441,Master's Degree,Finance,17,0,Public,2020,262.73642928568705,0.0342190495767349
8,111441,Master's Degree,Finance,18,0,Public,2021,269.49539686840825,0.0347249436739697
9,87533,PhD,Accounting,5,1,Public,2018,259.04706076957433,0.0386402868451386
9,88533,PhD,Accounting,6,1,Public,2019,253.38844804186493,0.0318776619511579
9,89533,PhD,Accounting,7,1,Public,2020,262.73642928568705,0.0290853594443819
9,90533,PhD,Accounting,8,1,Public,2021,269.49539686840825,0.0309784395977795
10,53512,Master's Degree,Accounting,5,1,Public,2018,259.04706076957433,0.0223339212828336
10,54512,Master's Degree,Accounting,6,1,Public,2019,253.38844804186493,0.0321220376211167
10,55512,Master's Degree,Accounting,7,1,Public,2020,262.73642928568705,0.0221339850022687
10,56512,Master's Degree,Accounting,8,1,Public,2021,269.49539686840825,0.0349194905109743
11,112792,Master's Degree,Economics,2,1,Private,2018,259.04706076957433,0.0213299253473355
